   INFO 2018-01-08 19:17:39.000000 [     3 ] Peer connection has called close() 192.168.122.89:54198
   INFO 2018-01-08 19:17:39.000000 [     3 ] Disconnected 192.168.122.89:54198
   INFO 2018-01-08 19:17:39.000000 [     3 ] Gear connection disconnected
   INFO 2018-01-08 19:28:53.000000 [  main ] Accepted connection from 192.168.122.89:54328
   INFO 2018-01-08 19:28:53.000000 [     1 ] Gear connection made
   INFO 2018-01-08 19:28:53.000000 [     1 ] Gear unpack
 NOTICE 2018-01-08 19:28:53.000000 [  proc ] accepted,reverse,,0 -> libgearman-server/server.cc:301
   INFO 2018-01-08 19:28:53.000000 [     1 ] Peer connection has called close() 192.168.122.89:54328
   INFO 2018-01-08 19:28:53.000000 [     1 ] Disconnected 192.168.122.89:54328
   INFO 2018-01-08 19:28:53.000000 [     1 ] Gear connection disconnected
   INFO 2018-01-08 19:29:36.000000 [  main ] Accepted connection from 192.168.122.89:54330
   INFO 2018-01-08 19:29:36.000000 [     4 ] Gear connection made
   INFO 2018-01-08 19:29:36.000000 [     4 ] Gear unpack
   INFO 2018-01-08 19:29:36.000000 [     4 ] Gear unpack
   INFO 2018-01-08 19:29:36.000000 [     4 ] Gear unpack
   INFO 2018-01-08 19:29:36.000000 [     4 ] Gear unpack
   INFO 2018-01-08 19:29:42.000000 [  main ] Accepted connection from 192.168.122.89:54332
   INFO 2018-01-08 19:29:42.000000 [     3 ] Gear connection made
   INFO 2018-01-08 19:29:42.000000 [     3 ] Gear unpack
 NOTICE 2018-01-08 19:29:42.000000 [  proc ] accepted,reverse,,0 -> libgearman-server/server.cc:301
   INFO 2018-01-08 19:29:42.000000 [     4 ] Gear unpack
   INFO 2018-01-08 19:29:42.000000 [     4 ] Gear unpack
   INFO 2018-01-08 19:29:42.000000 [     3 ] Peer connection has called close() 192.168.122.89:54332
   INFO 2018-01-08 19:29:42.000000 [     3 ] Disconnected 192.168.122.89:54332
   INFO 2018-01-08 19:29:42.000000 [     3 ] Gear connection disconnected
   INFO 2018-01-08 19:29:42.000000 [     4 ] Gear unpack
   INFO 2018-01-08 19:29:42.000000 [     4 ] Gear unpack
